"First Name","Last Name",Email,"Phone Number",Address,"Company Name","Role in Company"
Jack,Zorn,JackGZorn@rhyta.com,605-364-6721,"229 Andy StreetLesterville, SD 57040",Greyvoid,"Social work policy maker"
David,Collins,DavidTCollins@teleworm.us,561-963-9865,"282 Pleasant Hill RoadWest Palm Beach, FL 33409",Jafco,"Telephone operator"
Linda,Mill,LindaCMill@jourrapide.com,973-661-9342,"3786 Spring Haven TrailNutley, NJ 07110",HouseWorks!,"Independent insurance agent"
Molly,Simonton,MollyASimonton@rhyta.com,530-412-4091,"3523 Riverwood DriveSacramento, CA 95814","Morrie Mages","Sous chef"
George,Conley,GeorgeKConley@rhyta.com,224-578-9920,"4754 Victoria StreetChicago, IL 60631","Pro Star Garden Management","Customer services manager"
Melanie,Bradford,MelanieJBradford@dayrep.com,914-438-8249,"1746 Pallet StreetElmsford, NY 10523",Heslop's,"Chemical technician"
Jack,Lentz,JackLLentz@dayrep.com,419-887-4398,"336 Upland AvenueMaumee, OH 43537",Handyman,"Ballet master"
Jose,Blakeney,JoseSBlakeney@armyspy.com,601-681-4203,"1218 School House RoadBriarwood, MS 39337",Janeville,"Deputy marshal"
Marguerite,Lowe,MargueriteRLowe@dayrep.com,919-550-9151,"1634 Nancy StreetClayton, NC 27520","Omni Architectural Designs",Dipper
Kimberly,Montoya,KimberlyCMontoya@rhyta.com,850-334-8705,"2637 Star Trek DrivePanama City, FL 32401","Childrens Bargain Town","Career counselor"
